fen,phase,eco
6k1/pq3pb1/1p2p1p1/3pP1Np/2n4P/P4NrK/5P2/BR6 w - - 0 30,middlegame,
8/2k2N2/2P5/2K5/5P2/7b/8/8 b - - 0 64,endgame,
8/8/4k3/p4pp1/P3p2p/1P2NP1P/6PK/8 w - - 0 47,endgame,
2kr3r/1pp1np1p/p1np1q2/8/2BbPp1p/P1NQ1P2/1PPB4/1K4RR w - - 2 15,middlegame,
8/8/4Pk1p/p4pp1/Pp6/1P2P1P1/5PP1/2R3K1 w - - 1 36,middlegame,
6k1/p4pp1/1p6/7p/P4P2/1P2P3/6KP/3b4 w - - 0 32,endgame,
rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 0 4,opening,C07
Q4B1r/2nk1p1p/1q2p1p1/4P3/8/4NP2/1PP2P1P/3R2K1 b - - 2 27,middlegame,
r1b1kbnr/pppp1ppp/5q2/8/8/4PQ2/PPPP2PP/RNB1KB1R w KQkq - 1 6,opening,A02
r1bqkbnr/pppp1pp1/7p/8/2BnP3/8/PPP2PPP/RNBQK2R w KQkq - 0 6,opening,C44
Q7/8/2K5/8/1k6/1P1B4/2P5/8 w - - 1 54,middlegame,
rnbqkbnr/pp2pp1p/3p2p1/2p5/2P1P3/3P4/PP3PPP/RNBQKBNR w KQkq - 0 4,opening,B20
r5k1/pp3ppp/4p3/8/8/2P3RP/q4rP1/4R1K1 w - - 0 25,middlegame,
8/4bk2/3p2p1/6P1/3p1pK1/3B4/8/8 w - - 0 54,endgame,
5rk1/2p4p/1p1p2p1/p1br4/P3p2P/1P4P1/2R1RPK1/8 w - - 0 27,middlegame,
r1bqkbnr/ppp2ppp/2np4/8/2B1P3/2p2N2/PP3PPP/RNBQK2R w KQkq - 2 6,opening,C41
3B4/2p5/8/P3k3/7p/3b1pb1/8/7K w - - 0 51,endgame,
rnbqkbnr/ppp2ppp/4p3/3p4/8/3P1N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,opening,A04
r4rk1/ppp2pp1/2np3p/3Np3/2B1Pb2/3P1b2/PPP3Qq/R5RK w - - 0 21,middlegame,
rnbqk1nr/p1ppppbp/1p4p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,opening,A40
rn1qkbnr/pbpp2pp/1p2p3/5p2/2P5/2NP1N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,opening,A13
rnbqk1nr/ppp1p1bp/3p2p1/8/3Pp3/2PB1N2/PP3PPP/RNBQK2R w KQkq - 0 6,opening,B06
6k1/5p2/2R5/8/8/2P2KPP/prr1PP2/4R3 w - - 0 37,middlegame,
2R5/8/8/p5pk/r7/6P1/5p2/4bK2 b - - 1 40,middlegame,
rnbqkb1r/pp3ppp/2p1pn2/3p4/3P1B2/5N2/PPPNPPPP/R2QKB1R w KQkq - 2 5,opening,D02
rnbq1rk1/ppp1ppbp/3p1np1/8/3PP3/2PB4/PP1N1PPP/R1BQK1NR w KQ - 3 6,opening,A45
3qr1k1/1p3ppp/p7/3p4/1P2bP2/P1N3P1/5n1P/R5K1 w - - 0 27,middlegame,
8/5N2/5k2/8/P4P2/2P3KP/8/R7 w - - 1 63,endgame,
rn1qkb1r/pbpppp1p/1p3np1/8/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 0 5,opening,A50
rnbqk2r/ppp1ppbp/3p1np1/8/8/1P3NP1/PBPPPP1P/RN1QKB1R w KQkq - 0 5,opening,A49
6k1/6pp/1b2p3/r7/2K5/2P5/Q7/4q3 w - - 0 44,middlegame,
r1bqkb1r/pp2pppp/2np1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 1 6,opening,B83
r2b1rk1/pb3ppp/4pP2/1p2q3/2p1N1P1/3n4/1P2Q1BP/R1B2R1K w - - 0 23,middlegame,
rnbqkb1r/pp2pppp/2p5/3p4/3Pn2B/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 5,opening,D03
1r3r1k/8/3q2pp/3B1p2/p2P1P2/3P3P/PP1Q1R1K/1R6 w - - 1 30,middlegame,
r1bqkbnr/pp2pppp/2np4/8/3PP3/8/PP3PPP/RNBQKBNR w KQkq - 0 5,opening,B22
6r1/p4p2/2nk1B2/1Bpp3p/1p6/1P3P1n/P2R1K2/8 w - - 0 26,middlegame,
r4rk1/pp3p2/2pqp1p1/7p/4Q3/4P3/PP4P1/R1B2K2 w - - 0 22,middlegame,
r7/1p2r1kp/1qB2p2/p1R5/3P4/PPR1P3/2Q2PPP/6K1 b - - 0 27,middlegame,
r1bqkb1r/pp1npppp/2p2n2/3p2B1/3P4/2NQ4/PPP1PPPP/R3KBNR w KQkq - 0 5,opening,D01
8/1p5p/3k2p1/2p2p2/2P2P1P/pr1P4/4K3/8 b - - 1 42,middlegame,
8/p5pk/1p1R4/1P5p/2PP4/Pn3RP1/5P1P/4r1K1 w - - 1 44,middlegame,
8/5k2/3p4/3Pp3/1p6/1P3P2/1pP5/1K6 w - - 0 39,endgame,
r1bqkb1r/pp2pppp/2np1n2/2p5/2B1P3/2NP4/PPP2PPP/R1BQK1NR w KQkq - 0 5,opening,B20
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 1 5,opening,E10
r4rk1/pb1n2bp/1pp1Nqp1/3N4/3P1B2/1P4P1/P3PPBP/R2Q1RK1 b - - 0 14,middlegame,
8/6k1/p2p2p1/2p1p3/2P3q1/1P3r2/P5K1/6R1 w - - 0 51,middlegame,
5r1k/p5q1/1p2B2p/4p1p1/4Qp2/7P/Pb5P/5R1K b - - 1 37,middlegame,
8/8/1p2nk2/3B1p1p/1P1K1P2/6P1/7P/8 w - - 1 42,endgame,
8/4b1R1/2kp1p2/4pPp1/K5P1/2p2P2/8/1r6 w - - 0 59,middlegame,
rnbqkb1r/pp3ppp/4p3/2pn4/8/1P3N2/PBPP1PPP/RN1QKB1R w KQkq - 0 6,opening,B40
8/5pp1/2n4p/3p4/1p1Pb3/1P4k1/1B1K2P1/8 w - - 0 43,middlegame,
r5k1/8/4q1p1/3pbp2/8/pr6/P3Q1PP/5R1K w - - 0 39,middlegame,
8/5pp1/7p/2p2P2/2rb3P/4k3/2B5/2K5 w - - 0 66,middlegame,
rnbqkbnr/ppp1pppp/8/8/4p3/3P4/PPP2PPP/RNBQKBNR w KQkq - 0 3,opening,B01
2b2r1k/2b3qp/6pN/1p2p1P1/2p1P2P/1pP2N2/4pP1Q/1r2R2K w - - 0 42,middlegame,
4K3/2q5/3b2kp/8/4pP2/8/8/8 b - f3 0 54,middlegame,
2Q5/pp4pk/2p3rp/8/3P3K/6r1/PP6/8 w - - 0 36,middlegame,
5k2/5pp1/2n1p2p/pp6/8/3K2B1/5PPP/8 b - - 1 34,middlegame,
1r4k1/p4pp1/2b1p2p/2P1n3/3Q1P2/8/P3r1qP/R4RK1 w - - 0 23,middlegame,
r5k1/pp3r2/5p1B/4R3/8/1BP4P/P5P1/3R2K1 b - - 0 26,middlegame,
8/8/5n1p/5Kp1/8/8/5k2/4q3 w - - 0 64,middlegame,
6Q1/8/8/4R3/3P1P2/2k5/8/6K1 w - - 1 68,middlegame,
r1bqk1nr/ppppbppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,opening,C60
rn1qkb1r/pbpp1ppp/1p2pn2/8/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 5,opening,A47
r1bqkbnr/pp2pppp/2n5/2p1P3/3p4/2PP4/PP3PPP/RNBQKBNR w KQkq - 1 5,opening,B22
1r6/3B4/p2p2R1/2pPb1p1/5p2/1p4kP/6P1/7K w - - 0 39,middlegame,
8/pB6/P7/6p1/2p2bPp/2K4P/5k2/8 w - - 1 66,endgame,
8/1P3kp1/7p/2P5/b3p3/4b3/6rP/1K6 w - - 0 55,middlegame,
8/p4k2/1pp2P2/3p1K2/4P1N1/1PP5/P7/R7 b - - 0 39,middlegame,
1r2q3/p3Ppk1/1r4pp/2Q5/7P/PP1BP1P1/5P2/2R3K1 b - - 0 40,middlegame,
8/2KQ4/4k3/8/4p3/4P1B1/5P2/8 b - - 0 92,middlegame,
r1b2b1k/7p/pp2p1p1/4q3/2P3P1/2Q5/P3B2P/6K1 w - - 0 32,middlegame,
6k1/2q2pbp/4p1p1/2p1p3/2N5/1r1r4/5PPP/1R2QRK1 w - - 0 29,middlegame,
2qr1B1k/pp1b3p/n7/1N1Pp3/5n2/1Q3BN1/PP3PPP/3R2K1 b - - 0 26,middlegame,
3r1bk1/1p2q2p/4n1p1/1P1Q1p2/P1N5/4P1P1/5PBP/R4RK1 w - - 1 28,middlegame,
r2qr1k1/pp3pp1/3b1n1p/2p1NP2/8/4B3/PPP1BPPP/RN1Q1RK1 b - - 0 15,middlegame,
rq3r1k/ppp5/2n4p/3QNBp1/8/2N3P1/PPP2PP1/R3R1K1 b - - 0 17,middlegame,
8/1r5k/7p/8/3pb3/7P/1r1B4/6K1 w - - 2 45,middlegame,
4k3/6b1/8/1r1B1Rp1/3P4/4P1P1/5PK1/8 b - - 0 37,middlegame,
2Rq4/pQ1b3p/4p1k1/6p1/3P4/2P1P3/PP4PP/1R4K1 b - - 0 25,middlegame,
rnb1kb1r/ppppqppp/5n2/8/3PPp2/2N5/PPP1K1PP/R1BQ1BNR w kq - 5 6,opening,C33
3r2k1/p4pp1/1q3b1B/8/8/2N2QPb/PP3P1P/R3R1K1 b - - 0 22,middlegame,
7k/1pB3pp/8/8/8/2P5/b1P2KPP/8 b - - 1 25,endgame,
rnbqkb1r/pp1p1ppp/4pn2/6B1/2Pp4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 5,opening,E20
6k1/ppP4p/1q4p1/5r2/5P2/2B3Q1/PP5P/R4RK1 w - - 1 32,middlegame,
r1b1r1k1/pp3pb1/3B3p/2pP4/3n4/3P1N1P/PPP1B1P1/R2QK2R b KQ - 2 15,middlegame,
r1bqkbnr/pppp2pp/8/4n3/3PpP2/8/PPP3PP/RNBQKB1R w KQkq - 0 6,opening,C30
r1bqk1nr/pp2ppbp/2p3p1/2p5/4PP2/2N5/PPPP2PP/R1BQK1NR w KQkq - 0 6,opening,B23
8/5pkp/2p2p2/8/6P1/8/P7/K2R4 b - - 0 41,endgame,
1rr5/1p4k1/3p1pp1/p1p4p/P3P2P/2N3P1/1Pn2R2/7K w - - 0 45,middlegame,
8/p6p/1p2ppk1/8/6p1/3n2P1/PR4KP/2r2B2 w - - 0 41,middlegame,
rnbqkb1r/4pppp/p1p2n2/1p1p4/2P5/1PN1PN2/P2P1PPP/R1BQKB1R w KQkq - 0 6,opening,A11
8/8/4Q2p/2PpP3/3Pk3/8/4K2P/8 b - - 0 67,middlegame,
r1bqkb1r/pppn1ppp/3p1n2/4p3/3PPP2/3B4/PPP3PP/RNBQK1NR w KQkq - 0 5,opening,B07
rnbqkbnr/pp1p1ppp/2p5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,opening,C40
rn1qkbnr/pbpp1ppp/1p2p3/8/4PP2/2N5/PPPP2PP/R1BQKBNR w KQkq - 0 4,opening,B00
5rk1/p4pnp/6p1/P1pB4/1rnp4/6P1/2P4P/R1R3K1 w - - 0 23,middlegame,
rnbqkb1r/pp1ppppp/5n2/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 1 3,opening,B22
r1bqkb1r/pp1npppp/2p2n2/8/3PN3/7P/PPP2PP1/R1BQKBNR w KQkq - 1 6,opening,B17
r2r1bk1/2R2Qpp/P3p3/3n4/R2P2P1/1P5P/1B3P2/6K1 b - - 0 29,middlegame,
2r1k2r/1p1b1ppp/p3pb2/4p3/P7/2NB4/1PP3PP/3R1q1K w k - 0 19,middlegame,
8/pR6/8/2kp4/5p2/3B4/P1P2PP1/6K1 b - - 0 40,middlegame,
r4rk1/pp3ppp/2p2n2/q3p1N1/1b6/4B2P/b1QNBPP1/R4RK1 b - - 1 19,middlegame,
6B1/1p1kb3/2np3p/p1n1pb2/P7/2N1BP2/1PP3PP/R2Q1RK1 b - - 0 19,middlegame,
rnbqk1nr/pppp1pbp/4p1p1/8/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,opening,A04
4B3/8/4K3/1p3p2/p3kP2/P2b4/1P3P2/8 w - - 1 45,endgame,
rnbqkb1r/ppp1pp1p/3p1np1/8/2P1P3/3P4/PP3PPP/RNBQKBNR w KQkq - 0 4,opening,B07
rnbqkbnr/pp3ppp/4p3/3pP3/3p4/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 6,opening,C00
3q1rk1/pr3pbp/3pPpp1/1p6/5P2/4Q3/P1P3PP/5RK1 w - - 0 22,middlegame,
8/5pp1/p3p2p/1p5P/1P4P1/k2K1P2/8/8 w - - 0 42,endgame,
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,opening,D55
rnb1k2r/ppppqppp/4pn2/8/2PP4/2Q5/PP2PPPP/R1B1KBNR w KQkq - 1 6,opening,E32
rnbqkbnr/pp2pppp/2pp4/8/4P3/1P6/P1PP1PPP/RNBQKBNR w KQkq - 0 3,opening,B07
5r2/R7/5p2/6pk/8/5KP1/8/8 b - - 1 65,endgame,
rnbqkb1r/1p3ppp/p2ppn2/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq - 1 6,opening,B20
8/2K5/2p5/8/4k3/4q3/3q4/8 w - - 2 61,middlegame,
rnbqkbnr/pp3ppp/8/2pp4/8/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 5,opening,A00
4r1k1/pp4bp/6p1/2p5/3p1q2/1P1Qn3/P1PB3P/R6K w - - 0 30,middlegame,
r1b2rk1/ppp2ppp/2n2n2/8/2N1pP2/4P1P1/P2B3P/q2QKB1R w K - 0 15,middlegame,
r1bqkbnr/pp2pppp/2np4/2p3N1/4P3/8/PPPP1PPP/RNBQKB1R w KQkq - 2 4,opening,B50
r1b2r1k/1p3p2/p3p3/3pqp2/7P/5p2/PPPQN3/2K3RR w - - 2 21,middlegame,
r3r1k1/pQ3ppp/2pP1n2/2q5/1n4b1/2N5/PP1PPPBP/R1B1K1NR w KQ - 1 13,middlegame,
rn1qkb1r/pp2pppp/2p2nb1/3p4/2PP3N/2N5/PP2PPPP/R1BQKB1R w KQkq - 6 6,opening,D15
5rk1/1q6/5rp1/Q6p/3p4/1P2R1PN/P4P1P/5RK1 b - - 0 33,middlegame,
6k1/5pb1/2p3p1/p3p2p/Pp2P2P/8/1PP2qNK/3r1B2 w - - 0 35,middlegame,
r1bqkb1r/pp2pppp/2n2n2/2p5/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 3 6,opening,B20
1r3rk1/p1b3pp/1p1pp3/5p2/1N1Pb3/2P1qnPP/PP5K/R2Q1R2 w - - 2 36,middlegame,
r3r1k1/B4pb1/2p3pp/4nb2/N1P4P/1P4P1/P3PPB1/3RK2R w K - 1 18,middlegame,
rnb1k3/pp3pp1/2pb4/3p4/4pN1q/4P1N1/PPPP3r/R1BnK1RB w Qq - 0 16,middlegame,
8/3Pb3/1pB5/p3K3/2P2p2/1P4k1/P7/8 w - - 1 46,endgame,
3r1k2/R3Rp2/p5r1/2NPp2p/2P1P1p1/P5P1/5P1P/3q1BK1 b - - 0 33,middlegame,
8/2p3k1/3p3p/p2P4/P1P5/6P1/7P/6K1 b - - 0 39,endgame,
4r1k1/8/1p3Q2/3p3p/3P2p1/6P1/PPP3P1/R5K1 w - - 1 33,middlegame,
5rk1/5p1p/1p1b1np1/6N1/5p2/7P/1r3PP1/RR4K1 w - - 0 30,middlegame,
8/6k1/5p2/4r1p1/3K4/8/8/7q b - - 1 62,middlegame,
r2qkb1r/2p2ppp/p4n2/1b1P4/4PP2/1QP2N2/PP4PP/RNB2RK1 b kq - 2 16,middlegame,
rn1qkbnr/pbpp1ppp/1p2p3/8/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq - 0 4,opening,E17
r1b2rk1/6p1/p1p4p/1pq5/5p2/5N2/P2RQ1PP/5R1K w - - 0 25,middlegame,
r4rk1/4pp2/3pb1p1/p1pn3p/P3R3/1N4q1/1PPN1P1P/R5K1 w - - 0 25,middlegame,
5rk1/5pp1/p1bBp2p/1p6/1P3N2/P7/5bPP/7K b - - 1 27,middlegame,
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/8/PPQ1PPPP/RNB1KBNR w KQkq - 0 4,opening,E60
3N4/6p1/7p/pp1K3P/2pP2k1/2P5/PP6/8 b - - 0 44,endgame,
4k3/p1B1n1br/1p6/5b2/1PP3p1/PN6/4PPB1/3R1RK1 b - - 0 23,middlegame,
1R6/5rk1/5q2/1r5p/2p3p1/3p2P1/6PK/3B4 w - - 0 46,middlegame,
8/6K1/1pq2p2/8/2P2k2/2b5/8/8 b - - 1 74,middlegame,
r1b1kb1r/pp1p1ppp/1qn1pn2/2p5/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq - 1 6,opening,A46
2k2b1r/1p3ppp/1qp1p3/3rQ3/8/5P2/1P3P1P/2RR2K1 w - - 0 22,middlegame,
rnbqkbnr/pp3ppp/2p1p3/3p4/4PP2/5N2/PPPP2PP/RNBQKB1R w KQkq - 0 4,opening,C00
2r2rk1/p2bppb1/1pnp2p1/3n2Bp/N2Pq2P/5NP1/5PB1/1R1QR1K1 b - - 1 18,middlegame,
rnbqkbnr/pp1p1ppp/2p5/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 0 3,opening,A11
1r5k/R4Bp1/5q1p/pp6/2p5/P3QN2/1PP2PPP/2K5 b - - 1 25,middlegame,
7r/4kpp1/3p4/2pPpP2/1rP1B3/1pKP4/pn5P/R7 b - - 1 34,middlegame,
rnbqkb1r/p4ppp/3ppn2/1NpP4/2P5/8/PP2PPPP/R1BQKBNR w KQkq - 0 6,opening,A57
2Q5/8/4R3/5P2/2k5/6P1/5K2/8 b - - 2 55,middlegame,
6k1/1p3pp1/2b2p1p/8/8/7q/1P1Q2P1/4R2K w - - 0 37,middlegame,
8/8/p7/1pP5/1P3p1p/Pk2KP1P/8/8 w - - 0 51,endgame,
5rk1/2r1b2p/4p3/3qP1p1/1Pp1Q3/2P1P1P1/1B3P1P/R3R1K1 w - - 1 25,middlegame,
rn1qkb1r/pbppppp1/1p3n1p/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 2 5,opening,B00
r2rk3/p1p4p/4B1p1/1p4B1/8/2P5/P1P2PPP/R3R1K1 b - - 0 26,middlegame,
4r1k1/p4p1p/1p1p4/2b1rB2/4P2q/7Q/P6K/3RR3 b - - 1 32,middlegame,
1k1r1b1r/ppp1q1p1/2n5/8/4Q3/P2PB1N1/1PP3PP/R3KB1R b KQ - 0 17,middlegame,
6kr/pppb4/2n1pr2/5n2/3P1pq1/2P3B1/PP6/R3QRK1 w - - 0 23,middlegame,
rnb1kb1r/ppp1qppp/3p4/4N3/4n3/3P4/PPP1QPPP/RNB1KB1R w KQkq - 0 6,opening,C42
7k/6p1/2N5/1q6/8/p3B1PK/5P1P/2R5 b - - 0 47,middlegame,
7R/p7/1p4k1/8/5pp1/8/PP2K3/8 w - - 0 41,endgame,
2Q5/2P5/8/8/2N5/P6k/7p/7K b - - 0 60,middlegame,
8/8/p5R1/2k3p1/P1n5/5N1P/5PP1/6K1 b - - 0 42,middlegame,
rnbqkbnr/pp4pp/2p1p3/3p1p2/2PP4/2N3P1/PP2PP1P/R1BQKBNR w KQkq - 0 5,opening,D31
r7/5k2/1p4R1/3p1P1p/1N2pP2/Pn2K3/1P3P1P/7R w - - 0 34,middlegame,
3r4/p1p3k1/1p4pp/8/5P2/2P2NP1/PPK1R2P/R7 b - - 2 32,middlegame,
4r1k1/pp2n1p1/7p/3q1p2/2r1pQ2/8/P4PPP/1R3RK1 w - - 0 27,middlegame,
rnbqkb1r/pp1pp1pp/5n2/2p2p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,opening,A85
8/4k3/4r1K1/p4pp1/8/2p4P/2R5/8 w - - 0 55,middlegame,
8/8/3R1kp1/3P4/P2p3P/1P2pK2/2P5/8 b - - 0 49,endgame,
r1bqk1nr/ppp2ppp/2np4/2b1p3/4P3/2N2N2/PPPPBPPP/R1BQK2R w KQkq - 2 5,opening,C40
rnbqkbnr/ppppppp1/8/7p/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,opening,A10
8/p5pp/P2k4/7P/4r1P1/1p6/5K2/8 b - - 0 55,endgame,
r7/ppp3bk/2np3p/3n3q/2N1b3/2P1B1r1/PP3P1P/R4QK1 w - - 0 25,middlegame,
r1b1kb1r/p3pppp/2pp4/4n3/4PB2/2N2P2/P3q1PP/2R1KB1R w Kkq - 0 14,middlegame,
2kr1b1r/p3pppp/b1p5/p2n4/3PP3/6P1/P2N1RPP/1R4K1 w - - 0 21,middlegame,
8/Q7/3p2pk/3Pb2p/2P3n1/3K4/PP4PP/R6R b - - 0 32,middlegame,
3k3r/3q1p2/p4N2/3Q1B1p/8/8/PP4PP/4R2K w - - 1 33,middlegame,
r1b2k1r/1p2bppp/p1n2n2/q7/8/pBpP1N1P/2P1QPP1/R1B2RK1 w - - 0 15,middlegame,
r5k1/pp3ppp/2p2n2/8/2B5/P6P/4rPP1/4R1K1 w - - 0 24,middlegame,
r1bqk2r/ppp1nppp/2np4/2b1p3/4P3/1BNP4/PPP2PPP/R1BQK1NR w KQkq - 1 6,opening,C25
5rk1/p1p2ppp/Q1p5/8/8/2N4P/PP4q1/4K3 w - - 0 23,middlegame,
r1b1k2r/pp3ppp/1Np5/4P3/8/6P1/PP2PPBP/R1BK3R b kq - 0 12,middlegame,
r1bqkbnr/p3pppp/p1pp4/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 5,opening,B10
5r1k/7p/R1P1p3/P2pPq2/3P2p1/7P/4Q2P/4B1K1 b - - 0 31,middlegame,
rnbqk1nr/pppp1ppp/8/2b5/4p3/1P2PN2/P1PP1PPP/RNBQKB1R w KQkq - 0 4,opening,A01
8/8/2R4p/ppppkp2/8/PP2K2r/5P2/8 w - - 0 41,middlegame,
rn1qkb1r/pp2pppp/2p1bn2/3p4/2PP4/5N2/PPQ1PPPP/RNB1KB1R w KQkq - 4 5,opening,D11
2krr3/1pp2ppp/p1N5/1Pb5/Q3P3/P2p1R1P/6nq/R2K1B2 b - - 1 29,middlegame,
6rk/2R1R1B1/5rP1/3p4/pp1P4/8/PP3PP1/6K1 b - - 0 35,middlegame,
rnbqk2r/ppppnpbp/4p1p1/8/3PP3/2P1B3/PP3PPP/RN1QKBNR w KQkq - 2 5,opening,B06
r1bqkbnr/p1p2ppp/2pp4/8/4P3/8/PPP2PPP/RNBQKB1R w KQkq - 0 6,opening,C41
r2q2k1/ppp2pp1/2nb1r1p/1N6/2Q2p1N/8/PP4PP/R2R2K1 w - - 0 17,middlegame,
8/8/8/4b3/2K5/5k1n/8/6q1 b - - 1 58,middlegame,
7r/5p2/R2Pk1pP/1p6/1P5P/8/P1P5/1K6 w - - 1 39,middlegame,
r1bqkbnr/pp3ppp/2n5/8/4pP2/5N2/PPPP2PP/RNBQKB1R w KQkq - 0 6,opening,C31
r5k1/5n1p/6pP/3Qpp2/r7/2B1P1PB/2PP1PK1/6N1 b - - 2 36,middlegame,
rnbqkb1r/p3pppp/2p2n2/1p6/2pPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 6,opening,D15
r1bqkb1r/pp1p1ppp/2n2n2/2p1p3/2P5/2N1PN2/PP1P1PPP/R1BQKB1R w KQkq - 3 5,opening,A34
r1bqkbnr/pp2pppp/2n5/2pp4/5P2/1P3N2/P1PPP1PP/RNBQKB1R w KQkq - 1 4,opening,A03
6k1/p2q1pb1/1p4pp/2p5/2b5/P7/1PQ3PP/4B1K1 w - - 0 32,middlegame,
2kQ4/1pp3p1/p7/4P3/5P2/P3B3/1PP1b2P/2K5 b - - 0 30,middlegame,
8/8/2pQ2p1/6P1/3b1P2/p1p3K1/3k4/3b4 w - - 0 51,middlegame,
4Q3/R5pk/5q1p/p7/P7/1P3P1P/6P1/7K w - - 1 45,middlegame,
8/8/2k2r1p/2p1R3/1p2PN2/6PP/2P2K2/2B5 b - - 0 37,middlegame,
rn2kb1r/pp2p1pp/1np2p2/4p3/8/1BN2b2/PPP2PPP/R1B2RK1 w kq - 0 11,middlegame,
2r3k1/p3nppp/1pp1bbn1/8/1N2B3/5P2/Pr4PP/2R1NR1K w - - 0 24,middlegame,
rnbqk2r/ppppp1bp/5np1/5pB1/3P4/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 5,opening,A80
4rrk1/1pqb3p/2p3p1/3p4/8/6NP/2QR2PK/1R6 w - - 2 32,middlegame,
rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,opening,A85
rnbqkbnr/pp3ppp/3p4/2pp4/2P5/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5,opening,A43
rnbqk2r/ppp2ppp/3b1n2/3p4/3P1B2/8/PPPQ1PPP/RN2KBNR w KQkq - 4 6,opening,C01
8/8/p7/2pk1PK1/6P1/8/P7/2R5 w - - 0 51,endgame,
rnbqkb1r/ppp1pppp/3p1n2/8/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3,opening,A04
rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 4,opening,A49
4B3/p1p3p1/1p5p/2p3kn/2P5/1P2K3/P7/8 b - - 1 40,middlegame,
r4rk1/ppp2p1p/4bp2/8/2p2P2/3Bb3/P2N2PP/2RR3K w - - 0 20,middlegame,
r1bqkb1r/pppp1ppp/2n5/4P3/2P3n1/5N2/PP2PPPP/RNBQKB1R w KQkq - 3 5,opening,A52
r5k1/pp3ppp/8/3p2q1/1P1Nb3/P1Q1n1P1/1K5P/3R4 b - - 1 26,middlegame,
8/p2r1Rkp/6p1/8/2B5/7P/P1P2PPK/8 b - - 0 29,middlegame,
1kr5/1b2Q3/npp5/5p2/8/5P2/Pr5b/R2KR3 w - - 0 35,middlegame,
r1bqkbnr/pp1ppppp/2n5/2p5/1P2P3/8/P1PP1PPP/RNBQKBNR w KQkq - 1 3,opening,B20
rnbqkbnr/p1p1pppp/8/1p6/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,opening,D20
2r2q1k/Q7/4b1pp/5pB1/8/2P5/P1P2PPP/3R2K1 w - - 0 21,middlegame,
2rr1k2/1p2pp1p/p3b1pb/2pN4/4Pn2/PP4P1/2R2nBP/BR4K1 w - - 0 25,middlegame,
8/2r2p1p/6pk/6P1/5P2/2bK4/1p6/1R6 b - - 0 50,middlegame,
5r1k/pQ1r2p1/6np/3B4/3P2qP/4B1P1/PP3P2/2R3K1 w - - 1 27,middlegame,
rn1qkbnr/pbp2ppp/1p2p3/8/3PN3/3B4/PPP2PPP/R1BQK1NR w KQkq - 2 6,opening,C03
2k5/6r1/R1KP4/P5P1/4pP2/8/5P2/8 b - - 0 70,middlegame,
6k1/3n4/6p1/2p1p3/2Pp2K1/3P1P2/7P/8 w - - 0 45,endgame,
8/2R2ppk/2N2n1p/8/3K4/7r/8/8 w - - 0 38,middlegame,
rnbqk2r/pppp1ppp/4pn2/8/2PP4/P1b5/1P2PPPP/R1BQKBNR w KQkq - 0 5,opening,E24
5k2/p4n2/1bR3Q1/4p3/1P6/8/P4PPP/6K1 w - - 1 35,middlegame,
