fen,phase,eco,material,mobility,white_king_safety,black_king_safety,white_center_control,black_center_control,evaluation_cp
5rk1/6p1/p2p2p1/1p1bp3/2q3P1/2PRQ3/2PK4/4R3 w - - 2 26,middlegame,,45,29,0,0,4,4,-74
4nrk1/5Rb1/2p1b3/3pPp2/P2P3p/2P1B3/N2Q2PP/R5K1 b - - 0 30,middlegame,,49,17,0,0,2,3,622
5k2/6p1/p2n1r2/1p1P4/3K4/q7/3Q4/2R5 w - - 0 53,middlegame,,35,32,0,0,4,1,-657
2k1rb1r/pp5p/3p1p2/2p2p2/2Pp4/1P3bP1/P2KNP1P/R2N4 w - - 2 19,middlegame,,41,20,0,0,2,4,-715
rnbqk1nr/ppp2ppp/8/3p4/1b1P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 6,opening,A10,76,27,0,0,4,2,71
rnbqkbnr/pp3ppp/4p3/2pp4/4PP2/2N5/PPPP2PP/R1BQKBNR w KQkq - 0 4,opening,B23,78,33,0,0,3,3,-5
8/1k6/6n1/1p6/4N3/P4p1P/5K2/8 w - - 0 47,endgame,,10,15,0,0,0,1,84
8/4R3/p6k/1p1p4/3B1KP1/5P2/PP6/8 w - - 1 44,middlegame,,15,34,0,0,2,1,9998
1r1q1rk1/2p1bpp1/PnBpp3/7p/3P3P/5NP1/PPQ1PP2/RNB1K3 b Q - 2 16,middlegame,,65,23,0,0,4,2,598
4k2r/5ppp/4p3/1Nn5/8/r7/5PPP/n2R2K1 b k - 1 20,middlegame,,31,34,0,0,2,2,-592
rn2k1nr/ppq2p2/2p4b/3p4/6b1/5NP1/PPPPPPBP/RNBQK2R w KQkq - 3 10,middlegame,,75,25,0,0,2,3,401
3r1q2/6kp/3rB1p1/2p2pP1/2P5/p2R4/PbK5/3R4 w - - 0 35,middlegame,,43,28,0,0,2,4,-628
r1k2b1r/1p1qp1pp/pQn5/8/2b2B1N/8/P5PP/1R1R2K1 b - - 1 23,middlegame,,61,40,0,0,3,3,453
1R6/8/2K4p/8/P1P3k1/8/8/8 w - - 1 62,endgame,,8,24,0,0,1,0,820
3n4/3Pk3/p1b4p/2B1PB2/2P5/4K3/P6P/8 b - - 0 49,middlegame,,19,1,0,1,3,2,574
6k1/1pBb2p1/2p1p2p/2bpP3/P3p3/6PB/4P2P/5q1K w - - 0 30,middlegame,,33,1,1,0,1,3,-410
rnbqkbnr/ppp2ppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,opening,D20,75,41,0,0,2,2,44
8/8/8/p1b1n1p1/Bp2p1p1/1P4P1/k3KP2/8 w - - 0 48,middlegame,,17,10,0,0,0,1,-695
5rk1/3Q2b1/5p2/4pR1p/4P1p1/5PP1/PP3B2/5RK1 b - - 1 34,middlegame,,39,12,0,0,4,2,893
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq - 1 4,opening,A22,78,34,0,0,3,4,-1
r1bqk1nr/pppp1ppp/2n5/2b1p3/2P5/3P1N2/PP2PPPP/RNBQKB1R w KQkq - 1 4,opening,A10,78,31,0,0,4,2,50
r2qkb1r/ppp1pppp/2np1n2/8/3P2b1/5NP1/PPP1PPBP/RNBQK2R w KQkq - 3 5,opening,A46,78,33,0,0,2,4,91
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/2N5/PPP1PPPP/R2QKBNR w KQkq - 0 4,opening,D01,78,33,0,0,4,2,35
8/2p3p1/p3k2p/8/8/5K1P/6P1/2q5 b - - 1 40,middlegame,,15,32,0,0,1,2,-634
rnb1k1nr/ppq2p2/2p4b/3p2N1/8/6P1/PPPPPPBP/RNBQK2R w KQkq - 1 9,middlegame,,75,32,0,0,2,3,401
8/8/5k2/P6Q/4B3/8/1P1b1K2/8 w - - 1 55,middlegame,,17,42,0,0,2,1,3938
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2NBP3/PP3PPP/R1BQK1NR w KQkq - 2 6,opening,D46,78,43,0,0,4,3,36
6k1/5p1p/p3p2K/5PB1/3p3P/1r2P3/6b1/8 b - - 1 43,middlegame,,19,28,0,0,1,2,-664
r3kb1r/pb3ppp/2n5/1B2P3/6n1/4B3/PPP2PPP/RN1K2NR b kq - 4 9,middlegame,,55,29,0,0,1,2,44
3R1bk1/1p3rp1/p7/P1p3B1/6R1/6P1/1PP2P1P/6K1 b - - 0 35,middlegame,,31,14,0,0,3,1,715
rn1qkbnr/pppbpppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,opening,B07,78,38,0,0,3,1,94
2q1k3/3p1pb1/1p1Ppnp1/7p/p2Q1P2/P6P/2P3P1/2KR1b2 w - - 0 24,middlegame,,45,30,0,0,4,2,-454
8/1p4k1/p2p1p2/2pP2p1/2P3r1/1P6/PR4b1/6K1 w - - 0 37,middlegame,,23,11,0,0,1,4,-496
r2qk1nr/pbppppbp/1pn3p1/8/2BPP3/2N2N2/PPP2PPP/R1BQK2R w KQkq - 3 6,opening,B06,78,44,0,0,4,2,128
rnbqkbnr/ppp2ppp/8/3pp3/5P2/3P4/PPP1P1PP/RNBQKBNR w KQkq - 0 3,opening,A02,78,25,0,0,2,3,27
2rq2k1/5r1p/1pP3p1/p2n4/P1QP1pP1/B3P3/2PP4/1N2KBN1 b - - 0 23,middlegame,,55,36,0,0,3,1,-164
7k/7p/6p1/8/3b2P1/5PKP/2r5/8 b - - 1 46,endgame,,13,31,0,0,1,1,-635
rnbqkbnr/1pp2ppp/p2p4/4p3/8/1P2P3/PBPP1PPP/RN1QKBNR w KQkq - 0 4,opening,A01,78,35,0,0,2,2,10
5k2/8/p1p1B3/1p4p1/3p2P1/r7/P3K3/8 w - - 2 66,middlegame,,15,13,0,0,1,1,-550
k6r/1pK5/p7/8/8/1n6/8/2q5 w - - 0 53,middlegame,,19,3,1,0,0,1,-9996
rnbqkbnr/pp1p1ppp/2p1p3/8/4P3/8/PPPPQPPP/RNB1KBNR w KQkq - 0 3,opening,C00,78,29,0,0,2,1,51
r2q1r2/pp1nbpkp/6p1/2p5/3pPQn1/3P2N1/PPPB3P/2KR4 w - - 0 18,middlegame,,61,38,0,0,3,2,-569
r1n1k3/6Q1/pq1pNr2/1pNn4/3P4/P7/1P3PPP/2R2RK1 w - - 1 24,middlegame,,59,47,0,0,3,1,9999
8/8/1p1Q4/pP1P2k1/P7/8/6P1/6K1 b - - 0 57,middlegame,,15,4,0,0,2,0,3761
rnbqk2r/ppp2ppp/3b1n2/3p4/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 1 6,opening,C01,76,35,0,0,2,3,7
rnbqkbnr/pp2pppp/2p5/3p4/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,opening,B10,78,31,0,0,2,2,17
rnbqkbnr/ppp3pp/3p4/4pp2/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 0 4,opening,A21,78,28,0,0,4,3,30
R3R3/2r3kp/p5p1/8/7r/3b4/P7/6K1 w - - 2 42,middlegame,,27,22,0,0,2,2,-615
3k3r/p1R5/1p1pB1pb/3P3p/3Pp3/1P2P3/P2B2PP/5RK1 w - - 1 26,middlegame,,37,47,0,0,3,1,9998
7k/pp4pp/1bb5/8/6P1/1BB4r/P7/4K3 w - - 0 32,middlegame,,23,24,0,0,3,3,-714
5k2/p1N5/4Qrpp/2p5/8/2P4K/PP1P2P1/R1B3b1 b - - 0 27,middlegame,,37,17,0,0,4,1,716
8/7p/6p1/3p1p1k/1Kr4P/7R/8/8 w - - 2 46,middlegame,,15,4,1,0,0,2,-625
2r3k1/4pp1p/R2p2p1/8/1P2q3/4rN1P/6P1/b4Q1K w - - 0 31,middlegame,,47,35,0,0,2,4,-595
8/p3pk2/1p1p4/3n3p/2R2p2/2P2P1K/PP6/6r1 w - - 0 33,middlegame,,23,15,0,0,2,1,-554
5r2/2b2rk1/p5pp/2Q5/8/3P2P1/PPP2P1P/4R1K1 b - - 2 24,middlegame,,37,29,0,0,4,1,489
rnbqk1nr/pp3ppp/2pbp3/3p4/3PP3/2P2P2/PP4PP/RNBQKBNR w KQkq - 1 5,opening,B12,78,35,0,0,4,3,39
8/5p2/p3pk2/6r1/R7/4K3/8/8 b - - 0 42,endgame,,13,21,0,0,2,2,-550
rnbqk2r/pp2bppp/3ppn2/2p5/4P3/2NP1N2/PPP1BPPP/R1BQK2R w KQkq - 2 6,opening,B20,78,33,0,0,4,4,0
6k1/3Q2p1/1p2p1qp/2p5/2P4b/2B1P3/3K4/8 b - - 1 49,middlegame,,31,28,0,0,3,3,-409
4R3/pp3k1p/3r4/3P4/3P4/1P3PK1/PB4B1/1b6 w - - 1 32,middlegame,,27,31,0,0,3,2,456
8/2p2p1p/1p1kp1p1/8/8/2PP1P2/3K1P1P/8 w - - 1 28,endgame,,11,11,0,0,2,2,-387
rn1qkb1r/ppp2ppp/4pn2/5b2/3Pp3/2N1BP2/PPP3PP/R2QKBNR w KQkq - 0 6,opening,D00,77,40,0,0,4,3,-120
4r1k1/p7/1p3Q2/3RP3/P7/1Pr5/5P1P/6K1 b - - 0 34,middlegame,,31,25,0,0,2,1,556
r2qkbnr/pp2pppp/2n5/2ppP3/3P2b1/2P2N2/PP3PPP/RNBQKB1R w KQkq - 3 6,opening,B12,78,35,0,0,2,4,46
3rr1k1/1B2bppp/4b3/P3B3/8/P3P3/5PPP/R4RK1 b - - 0 21,middlegame,,41,36,0,0,3,2,432
2r3k1/1Q2pp2/p2p2p1/8/3KP1P1/2p2q2/P1R5/8 b - - 1 32,middlegame,,37,35,0,0,3,2,-9998
2r3k1/p3B1p1/1p1p3p/1q1Ppp2/1n6/1Q3N2/5PPP/4K3 w - - 0 28,middlegame,,43,30,0,0,3,4,-656
r1bq1rk1/ppp3pp/4P2n/5npQ/4BP2/2p4P/PP5K/R1B2R2 w - - 0 20,middlegame,,65,40,0,0,2,2,-436
k7/1Q4R1/2p5/p5p1/1P1P4/P1P3p1/6P1/4R2K b - - 0 39,middlegame,,28,0,0,1,3,1,10000
6k1/2Q5/pp2R3/2p2p2/1P6/P4P2/5KPP/8 b - - 0 33,middlegame,,23,7,0,0,2,2,9997
5rk1/5pp1/p3rB2/6q1/1PN1p2p/P5P1/4BP1P/2RQ1RK1 b - - 0 27,middlegame,,57,36,0,0,3,3,683
8/8/p7/3P1p2/6k1/2N1Q3/PP4PK/4r3 b - - 0 39,middlegame,,23,13,0,0,4,1,-217
r5k1/ppp4p/4b1p1/8/5Bn1/2N3P1/PP4Kn/R7 w - - 0 21,middlegame,,33,29,0,0,3,2,-436
r6r/ppp2kp1/3bpqp1/4n3/8/2P5/PP1NQPbP/1K1R3R w - - 0 15,middlegame,,61,36,0,0,3,3,-692
5r2/1b1p3k/1p4p1/pP1Pp3/P1B2n2/2PP3P/5PP1/R4RK1 b - - 0 27,middlegame,,37,29,0,0,3,2,424
rn1qkb1r/pbp2ppp/1p1p1n2/4p3/3PP3/2P2N2/PPQ2PPP/RNB1KB1R w KQkq - 1 6,opening,C41,78,38,0,0,4,4,53
rnbqk2r/ppppp1bp/5np1/5p2/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 1 5,opening,A87,78,33,0,0,3,2,64
2k2q2/1p2b3/p7/3Q4/5Bp1/PPN3P1/2P5/3RK3 w - - 0 41,middlegame,,39,50,0,0,4,0,9999
6k1/3R4/p5PB/1p3p2/4b3/2P5/P4PP1/6K1 b - - 0 42,middlegame,,19,13,0,0,2,2,9998
r1bqkbnr/1p1p1ppp/p1n5/1N2p3/4P3/8/PPP2PPP/RNBQKB1R w KQkq - 0 6,opening,B32,76,42,0,0,2,2,46
8/ppp5/3P2kp/6p1/8/5p1P/3K4/5r2 w - - 0 40,endgame,,13,7,0,0,0,0,-374
7R/3k1p2/4p3/3br2p/3p3P/6K1/5B2/8 w - - 0 46,middlegame,,21,17,0,0,1,2,-243
2kr1bnr/p1p1p2p/1p3p2/5n2/P4B2/1RN2N2/2K3PP/1R6 w - - 0 21,middlegame,,47,42,0,0,4,3,-132
r3rb2/pp3QPk/2p5/3pN1BR/1q1P2P1/1N6/P4P2/1K1R4 b - - 0 26,middlegame,,59,0,0,1,3,4,10000
4k1r1/R2n2P1/4p3/8/Pp3P2/5NPp/P6P/5K2 w - - 1 30,middlegame,,25,21,0,0,2,2,511
r1bqkb1r/ppp2ppp/2n2n2/3pp3/4P3/1PN5/PBPP1PPP/R2QKBNR w KQkq - 0 5,opening,A01,78,36,0,0,2,4,-12
rnbqkb1r/pppppppp/5n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 3 4,opening,A50,78,33,0,0,4,2,124
8/6p1/2K4p/1P6/5P1P/2P3k1/8/8 w - - 0 56,endgame,,6,11,0,0,3,0,699
2b1k2r/2p2p2/5P2/3Q2p1/3P4/8/PR4PP/5RK1 w - - 1 35,middlegame,,35,46,0,0,3,0,9998
1k6/8/4pb2/1P1p1Pp1/8/P7/7P/1K6 b - - 0 43,endgame,,10,18,0,0,0,4,-452
8/pp1k1p2/8/4P1pp/8/P4PKP/1P4P1/8 b - - 0 28,endgame,,11,15,0,0,1,0,208
6k1/ppp3p1/2n3rp/3p4/3Pp3/2P3rq/PP3QP1/R4RK1 w - - 2 28,middlegame,,53,25,0,0,2,3,-729
rn1qkbnr/1bp2ppp/pp1pp3/8/1PPP4/2N4P/P3PPP1/R1BQKBNR w KQkq - 0 6,opening,A41,78,33,0,0,4,3,59
rnbqkbnr/ppp2ppp/3pp3/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,opening,C00,78,28,0,0,3,2,85
rnbqkb1r/pp2pp1p/2p2np1/8/P1pP4/2N1P3/1P3PPP/R1BQKBNR w KQkq - 0 6,opening,D10,77,37,0,0,4,3,74
r1bqkbnr/ppp2ppp/2np4/8/4Pp2/2N2N2/PPPP2PP/R1BQKB1R w KQkq - 2 5,opening,C25,77,31,0,0,4,2,3
8/pp6/5k1p/2Ppp3/8/1P2PK2/P6P/8 w - - 0 30,endgame,,10,12,0,0,2,3,21
rn1qkb1r/ppp1pppp/5n2/3p4/3P1Pb1/5N2/PPP1P1PP/RNBQKB1R w KQkq - 3 4,opening,D00,78,27,0,0,2,2,-26
2b2r2/2p3k1/pb1p3p/1p1B4/3N3N/2P1Q1pp/PP3q2/4R1K1 w - - 0 27,middlegame,,53,2,1,0,3,2,-725
r2qkbnr/pp1b1ppp/2np4/1Bp1p3/4P3/2P2N2/PP1PQPPP/RNB1K2R w KQkq - 0 6,opening,B52,78,32,0,0,4,2,39
1k3r2/ppp5/3p4/4n1PP/2B1P3/2P5/PP1N2P1/6K1 b - - 0 24,middlegame,,25,29,0,0,3,1,360
rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,opening,A33,78,33,0,0,4,3,78
8/6k1/p1R2p1n/4p1p1/4P1Pn/8/4N2K/5r2 w - - 0 39,middlegame,,25,20,0,0,2,2,-424
6k1/1rq2p1p/B3p1p1/8/8/3p4/3R2P1/6K1 w - - 0 45,middlegame,,28,16,0,0,0,2,-631
rnbqkb1r/1p3ppp/p3pn2/2pp4/2PP4/2N1P1P1/PP3P1P/R1BQKBNR w KQkq - 0 6,opening,E01,78,38,0,0,4,3,27
r4rk1/5p2/p1NPbq1p/1p6/4P1p1/1PN4P/1PP2PP1/R4QK1 w - - 0 21,middlegame,,55,42,0,0,4,3,350
r1bqkb1r/pp3ppp/2nppn2/2p5/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq - 0 6,opening,A46,78,39,0,0,2,4,85
rnbqk1nr/pp3ppp/2pb4/3p4/3Pp3/4P3/PPP1BPPP/RNBQK1NR w KQkq - 2 6,opening,D00,78,30,0,0,2,3,-111
rnbqkbnr/ppp2ppp/4p3/3p4/5P2/4P3/PPPP2PP/RNBQKBNR w KQkq - 0 3,opening,A03,78,30,0,0,2,2,-12
8/6pp/3k1p2/R7/N3P3/P5P1/3r1P1P/6K1 b - - 2 43,middlegame,,21,19,0,0,2,3,511
rnbqkb1r/ppp1pppp/1n1p4/4P3/2BP4/8/PPP2PPP/RNBQK1NR w KQkq - 2 5,opening,B03,78,43,0,0,3,2,46
8/p2k4/R1B5/8/KPP5/4r3/P7/8 b - - 0 42,middlegame,,17,6,0,1,2,2,586
8/3k1p2/6p1/3PK1P1/R4P1P/8/Pr6/8 b - - 0 42,middlegame,,17,21,0,0,4,0,531
8/p4p1k/1p1pr3/2bN4/2n2K2/6P1/P6P/8 w - - 0 36,middlegame,,21,16,0,0,2,3,-761
r1bqkbnr/pp2pppp/2np4/8/3QP3/5N2/PPP2PPP/RNB1KB1R w KQkq - 1 5,opening,B53,76,49,0,0,4,2,11
rn1q3r/p7/1kp2Q1b/4pb2/2B1Np2/3P4/PPP2PPP/R1B2RK1 b - - 0 19,middlegame,,67,35,0,0,3,3,361
rnb1kb1r/pp2pppp/1q3n2/3p4/3P4/4PN2/PP3PPP/RNBQKB1R w KQkq - 1 6,opening,D13,76,32,0,0,2,3,14
r1b2rk1/1p3ppp/1p1q4/1B6/1n1p4/P6P/3Q1PP1/R1K4R b - - 1 20,middlegame,,57,43,0,0,1,3,-716
r1bqkb1r/pppp1ppp/2n5/4p3/2B1n3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5,opening,C46,77,37,0,0,4,2,-20
5rk1/5rpp/8/2pqp3/1p1p4/3P2P1/4Q2P/R5RK w - - 0 32,middlegame,,47,4,1,0,2,3,-550
rnbqkbnr/1pp2ppp/p3p3/8/P1pP4/2N5/1P2PPPP/R1BQKBNR w KQkq - 0 5,opening,D31,77,32,0,0,4,2,9
2k5/pp3p1N/2pq2r1/8/1P1P4/P3PRP1/6Q1/2R3K1 b - - 0 24,middlegame,,45,34,0,0,2,3,645
8/8/k1b1p2p/4P3/1Rr1p3/1p3pP1/5K1P/8 w - - 0 47,middlegame,,21,14,0,0,0,3,-324
2QR4/8/1K1Pk3/8/8/8/8/8 b - - 0 65,middlegame,,15,4,0,1,0,2,4689
rnbqk2r/ppp1ppbp/5np1/3p4/3P1P2/3BP3/PPP3PP/RNBQK1NR w KQkq - 0 5,opening,A45,78,36,0,0,3,2,-39
8/1r6/8/3k4/6R1/2p2p2/2K4P/8 w - - 0 55,endgame,,13,20,0,0,2,3,-3
8/1q5k/4p1Qp/3nN3/3P4/r1P3PP/5P1K/4R3 b - - 0 47,middlegame,,41,1,0,1,3,1,788
r1b5/kp5R/2p2p2/2n5/P1B5/2BP3P/1PP2KP1/8 b - - 2 30,middlegame,,31,16,0,0,4,3,560
rnbqk2r/ppp2pbp/3ppnp1/8/3P4/2P2NB1/PP2PPPP/RN1QKB1R w KQkq - 1 6,opening,A46,78,29,0,0,2,3,33
r1b1k3/ppq3p1/2p1p1p1/4P2n/8/1Q1B1P2/P5Pb/R4R1K w q - 1 23,middlegame,,55,39,0,0,2,2,397
rnbqk1nr/ppppppbp/6p1/8/8/2P1P3/PP1P1PPP/RNBQKBNR w KQkq - 1 3,opening,A00,78,31,0,0,1,2,0
r2qr1k1/pp3ppp/2p2nb1/3p3P/Q5P1/B4P2/P2N1Pn1/R4RK1 w - - 0 19,middlegame,,65,39,0,0,2,3,-180
rnbqk1nr/pp3pbp/2p1p1p1/3p4/3PP3/2N2N1P/PPP2PP1/R1BQKB1R w KQkq - 0 6,opening,B15,78,38,0,0,4,4,120
8/8/p2p1rkB/4p3/4P1P1/1PN3P1/P5K1/8 b - - 0 42,middlegame,,19,13,0,0,2,2,-117
2r1k2r/p2p1p2/4p1pp/2np4/qb6/1N1bBQN1/PP3PPP/3K3R b k - 1 24,middlegame,,63,46,0,0,3,2,-1695
rnbqk2r/pp1p1ppp/4pn2/2p5/2PP4/P1P5/4PPPP/R1BQKBNR w KQkq - 0 6,opening,E24,72,27,0,0,3,3,8
5r1k/7p/8/ppb1P3/2pN2P1/2P2p2/P1B2P1B/4RRK1 w - - 1 34,middlegame,,37,30,0,0,3,1,1092
8/pkp3pp/5p2/1r2pb2/1N6/P7/5PPP/R2r2K1 w - - 0 28,middlegame,,31,1,1,0,1,4,-461
7r/pR4Np/2p3n1/8/5P2/6P1/PP4kP/2KR4 b - - 0 30,middlegame,,29,21,0,0,3,2,725
rnbq1rk1/pppp1pp1/5n1p/2b1p3/2B1P3/2NP3P/PPP2PP1/R1BQK1NR w KQ - 0 6,opening,C26,78,38,0,0,2,3,54
3K4/3P4/2q5/p6k/8/1p6/8/8 w - - 0 56,endgame,,12,2,0,0,0,2,-824
4r2k/2R3p1/5b1p/2Bq4/1P6/P5PB/5P1P/6K1 b - - 1 31,middlegame,,35,52,0,0,1,3,-664
r1bqk2r/ppppbppp/2n2n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R w KQkq - 1 5,opening,C46,78,32,0,0,4,4,8
1r3rk1/p3qpp1/7p/2p5/N1P5/1PQ1P1P1/P1BP3P/5RK1 b - - 0 21,middlegame,,51,33,0,0,4,3,627
4r3/6p1/pK3p2/2q5/5k2/P7/1P6/8 w - - 0 48,middlegame,,19,3,1,0,0,4,-796
rnb1k2r/pppp1p1p/7p/4P3/2q1P3/2P2Q2/PP3R2/RN2K3 w Qkq - 0 15,middlegame,,59,29,0,0,3,3,-260
R7/4k3/6Pp/8/8/8/p5K1/r7 w - - 0 53,endgame,,13,19,0,0,0,0,500
4rr1k/p1b4p/2p1qPp1/3PP3/6P1/3B3P/PP2Q2K/4RR2 b - - 0 33,middlegame,,55,33,0,0,2,2,-85
8/2p3K1/1p1b4/pPp2k1p/P1P5/3P4/8/8 w - - 0 60,endgame,,12,6,0,0,2,3,-627
3Q4/p4p1p/1p3qk1/4p3/4P3/6PP/n7/7K w - - 0 39,middlegame,,29,23,0,0,2,2,-367
5r2/5kn1/6p1/1B4Bp/6nP/2P3P1/1P3P2/4R1K1 w - - 1 35,middlegame,,29,37,0,0,3,1,639
rnbqk2r/pp3ppp/2pbpn2/3p4/3P4/3BPN2/PPP2PPP/RNBQ1RK1 w kq - 4 6,opening,D00,78,33,0,0,3,3,52
8/8/r5k1/4K2p/7P/6P1/8/3R4 b - - 1 41,endgame,,13,16,0,0,3,0,1
rnb1kbnr/pp2pppp/8/8/2pq4/4PN2/PP3PPP/RNB1KB1R w KQkq - 0 6,opening,D21,66,25,0,0,2,3,4
8/4p3/5k2/1K2p3/2P5/p5r1/Rb6/8 w - - 0 43,middlegame,,17,11,0,0,1,2,-630
1n4k1/1q3pp1/5n1p/3pp3/3P4/Q3PPP1/5N1P/1r3bK1 b - - 1 34,middlegame,,45,45,0,0,3,3,-1782
8/1R4pk/p2r1q1p/4p3/1P1NP2P/P3Q1P1/5PK1/8 b - - 0 42,middlegame,,41,25,0,0,3,3,371
rnbqk1nr/ppp2ppp/8/3p4/1b1P4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5,opening,D31,76,25,0,0,4,2,34
4k3/p7/8/qr6/8/K7/8/8 w - - 0 52,middlegame,,15,0,1,0,0,2,-10000
rnbqkbnr/2pppppp/p7/1P6/8/8/PP1PPPPP/RNBQKBNR w KQkq - 0 3,opening,A10,77,23,0,0,0,0,131
8/8/4p1k1/8/3Pp3/4N1p1/5pK1/8 w - - 0 57,endgame,,8,12,0,0,2,1,294
rn1qk1nr/pbpp1pbp/1p2p1p1/4P3/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 6,opening,B06,78,35,0,0,2,3,53
2r1R3/1b4kp/p2n2p1/5p2/1PB5/N1P2P2/P5PP/2R3K1 b - - 0 27,middlegame,,37,25,0,0,4,2,377
8/1Q6/2R1k3/1bP2pp1/7p/P4P2/5KPP/8 b - - 0 49,middlegame,,25,3,0,1,1,3,698
rnbqkbnr/pp2pppp/2p5/3p4/3P4/2P5/PP2PPPP/RNBQKBNR w KQkq - 0 3,opening,D00,78,28,0,0,2,2,13
r1bqk2r/pppp1ppp/2n2n2/4p3/4P3/P1b2N1P/1PPP1PP1/R1BQKB1R w KQkq - 0 6,opening,C46,75,25,0,0,3,4,-96
1r3k1r/5pp1/p3p3/q5b1/B1p1p3/4P2P/3P1K2/B2Q3R w - - 0 24,middlegame,,51,36,0,0,2,2,-567
3R4/p5kp/6p1/8/2r5/P2p4/6K1/8 w - - 0 37,middlegame,,15,21,0,0,2,2,-455
rnbqk2r/ppppnpb1/4p1pp/8/3PP3/2N1B3/PPPQ1PPP/R3KBNR w KQkq - 0 6,opening,B06,78,39,0,0,4,3,126
rnbqkbnr/1p3ppp/p2p4/1Np5/4P3/8/PPP2PPP/RNBQKB1R w KQkq - 0 6,opening,C41,76,42,0,0,2,2,24
rnbqkbnr/pp2pppp/3p4/8/2P5/8/PP1P1PPP/RNBQKBNR w KQkq - 0 5,opening,B02,76,28,0,0,1,1,44
5k2/p5p1/2p2pb1/P6p/3qP1P1/5P2/2Q1n3/5K2 w - - 0 41,middlegame,,33,22,0,0,2,4,-557
3r1rk1/5pp1/2p2q1p/p7/7P/3R4/1PP3b1/3R3K w - - 0 31,middlegame,,40,3,1,0,2,4,-780
r1bqkb1r/pppp1ppp/5n2/8/3nP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,opening,C47,73,36,0,0,3,2,102
r1b2rk1/2q1bp1p/p3p3/3p3p/5P2/3pP3/PP1B2PP/R4R1K b - - 1 22,middlegame,,51,39,0,0,2,3,-929
r3kb1r/1b1p1ppp/p3p3/N7/1p6/P2Bn3/1PP2PPP/R5K1 w kq - 0 16,middlegame,,43,32,0,0,1,2,-602
rnbqk2r/p1p1bppp/1p2pn2/2Pp2B1/3P4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 6,opening,D53,78,38,0,0,4,2,-34
3Q4/4p1bk/p3Pnqp/1pp5/2p4P/2P5/P5R1/6K1 w - - 0 34,middlegame,,39,29,0,0,2,3,562
rnbqkbnr/pp4p1/2pp3p/4pp2/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 6,opening,C41,78,42,0,0,4,4,197
rnbqk2r/ppppbppp/4pn2/8/8/1P2P3/PBPP1PPP/RN1QKBNR w KQkq - 1 4,opening,A01,78,36,0,0,2,2,17
8/r7/5k2/1P6/8/6P1/P3b1K1/8 w - - 0 39,endgame,,11,9,0,0,0,1,-557
8/8/8/1kp5/3r4/8/4K3/q7 w - - 0 52,middlegame,,15,3,0,0,0,3,-4673
2k3nr/Qp2q3/8/1N1prb1p/6p1/4P2P/PPP1BPP1/R4RK1 w - - 0 19,middlegame,,61,42,0,0,1,3,578
rnbqkb1r/pp2pp1p/3p1np1/2p5/2B1P3/P2P4/1PP2PPP/RNBQK1NR w KQkq - 0 5,opening,B20,78,38,0,0,2,4,1
2rrb1k1/pp2qppp/2n1p3/7n/P7/4QBP1/2P2P1P/R2R2K1 w - - 0 20,middlegame,,61,50,0,0,4,3,-669
r1bqkb1r/pppn1pp1/3p1n1p/4p3/2PPP3/2N2P2/PP4PP/R1BQKBNR w KQkq - 0 6,opening,A53,78,36,0,0,4,4,81
r1bqkbnr/pp1npppp/2p5/8/3PB3/8/PPP2PPP/RNBQK1NR w KQkq - 1 5,opening,B12,76,40,0,0,3,2,54
3r2k1/3r2pp/1p3p2/nN2pN2/P4n2/8/5bPP/R3R2K w - - 0 27,middlegame,,43,32,0,0,3,3,-653
r2qkbnr/pp2pppp/2np4/2p5/4PPb1/P4N2/1PPP2PP/RNBQKB1R w KQkq - 1 5,opening,B21,78,28,0,0,3,2,21
r1bqk2r/pppp1pp1/2n2n1p/2b1p3/2B1P3/3P1N1P/PPP2PP1/RNBQK2R w KQkq - 1 6,opening,C55,78,39,0,0,4,4,17
