fen,phase,eco,material,mobility,white_king_safety,black_king_safety,white_center_control,black_center_control,evaluation_cp,best_move
r1bqkb1r/pp2pppp/2np1n2/2p5/2B1P3/5N1P/PPPP1PP1/RNBQK2R w KQkq - 1 5,opening,B20,78,35,0,0,3,4,10,b1c3
2rq1rk1/p2bn1bp/3Q2p1/3Pp3/4N3/1B2BN2/PP3PPP/R4RK1 b - - 0 17,middlegame,,69,40,0,0,3,3,466,e7f5
r4rk1/ppp1pp2/5bpp/1Q6/5Pb1/3R4/qPP4P/1NK2B1R b - - 1 18,middlegame,,61,48,0,0,3,3,-576,f8d8
k7/P7/4K3/1p2P1P1/1P6/3r4/7R/8 b - - 0 51,middlegame,,15,16,0,0,2,2,609,d3g3
3q4/7p/1pB4k/1P1p3n/P2PpBQ1/8/5PPP/6K1 b - - 0 38,middlegame,,37,2,0,1,2,2,653,h5f4
7k/6bp/6p1/1pP5/4p3/4P3/3K2PP/8 w - - 0 41,endgame,,11,10,0,0,1,2,-334,d2c2
2kr4/ppp2N2/8/8/4n3/4P1P1/PPPB2K1/3R4 w - - 1 29,middlegame,,27,31,0,0,2,2,619,f7d8
rn1qkbnr/1bpppppp/p7/1p6/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 2 4,opening,B00,78,31,0,0,3,2,105,a2a4
r1b2rk1/pp1ppp1p/2n3p1/5N2/8/1BbqBP2/P1P1K1PP/R6R w - - 0 14,middlegame,,59,3,1,0,3,4,-506,e2d3
rnbqkb1r/ppp2ppp/4pn2/3p4/8/1PN5/PBPPPPPP/R2QKBNR w KQkq - 2 4,opening,A01,78,26,0,0,2,2,-31,d2d4
r2qkbnr/pbpppppp/1pn5/8/2P5/2NP4/PP2PPPP/R1BQKBNR w KQkq - 1 4,opening,A10,78,32,0,0,2,2,46,d3d4
2rq1rk1/p4ppp/5n2/2B2b2/2P5/3P1NP1/P4PBP/R2Q1RK1 b - - 0 16,middlegame,,63,36,0,0,4,3,144,c8c5
r2qkbnr/ppp2ppp/2np4/8/3PPpb1/2N2N2/PPP3PP/R1BQKB1R w KQkq - 1 6,opening,C25,77,35,0,0,4,2,145,c1f4
r1bqk1nr/ppp1ppbp/3p2p1/3Pn3/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 6,opening,A42,78,38,0,0,3,1,86,f2f4
8/2q1nk2/5n2/pQ1p2p1/1p1Pp3/1P2P3/1B1N4/4bK2 w - - 0 38,middlegame,,41,27,0,0,4,3,-652,f1e1
6kr/5R2/p5p1/2p4p/2Pb1PP1/8/PP4KP/R1B5 b - - 0 29,middlegame,,31,15,0,0,2,2,60,g8f7
2k5/5R2/2p5/ppPpP3/3PN3/1KP5/P2r1P2/8 b - - 0 37,middlegame,,23,13,0,0,2,3,371,d5e4
7k/Q1P3r1/1p3p1p/4pP1B/1P6/P4P2/4KP2/8 b - - 0 50,middlegame,,27,16,0,0,1,2,688,g7g8
8/5k2/5p2/p2p1P1p/P2P1b1P/5K2/8/8 w - - 0 65,endgame,,11,4,0,0,2,2,0,f3f4
r1bqkb1r/ppp2ppp/2n2n2/3p4/3P4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 0 6,opening,D35,76,38,0,0,4,4,1,a2a3
8/8/8/5k2/1R6/1P1P4/2KB1r2/8 b - - 0 47,middlegame,,15,11,0,0,2,2,566,f5g6
R7/5pk1/1b5p/5p2/pr4PK/8/7P/8 w - - 0 43,middlegame,,19,15,0,0,0,2,-619,a8a6
1b1r2k1/5p2/4p3/pp4P1/8/1r3N2/4B1K1/4R3 w - - 0 40,middlegame,,29,24,0,0,2,3,-561,g5g6
4r1r1/5b2/p3p2k/3p2R1/3P3P/1PP5/P2NN3/5RK1 w - - 1 38,middlegame,,37,33,0,0,4,2,673,f1f7
4rr1k/p1p3pp/2p1b3/3p1p2/qB3P2/P2B4/3N2PP/Q6K w - - 0 26,middlegame,,51,39,0,0,3,2,-462,d2f3
8/8/6pk/p1p4p/8/1P3P2/P5K1/8 w - - 0 51,endgame,,7,11,0,0,1,1,-428,f3f4
rnbqk1nr/ppppppbp/6p1/8/8/1P3N2/P1PPPPPP/RNBQKB1R w KQkq - 1 3,opening,A04,78,23,0,0,2,2,-37,d2d4
rnbqkbnr/pp4pp/4pp2/2ppP3/5P2/2N5/PPPP2PP/R1BQKBNR w KQkq - 0 5,opening,B23,78,33,0,0,3,4,-19,g1f3
2r2rk1/p4pp1/7q/3B4/4PP2/1PbQ2PK/P6P/1R3R2 w - - 1 26,middlegame,,53,2,1,0,4,2,480,h3g2
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 2 4,opening,C00,78,32,0,0,4,3,27,g2g3
r1bqkb1r/ppp1pppp/2n2n2/3p2B1/3P4/8/PPPNPPPP/R2QKBNR w KQkq - 2 4,opening,A45,78,30,0,0,2,4,5,e2e3
r3rk2/1pp2p2/p2p1bq1/3N4/8/5N2/PP4PQ/K2R3n w - - 0 30,middlegame,,53,40,0,0,3,3,-379,g2g4
8/4k3/6K1/4R3/8/3r4/8/8 b - - 0 41,endgame,,10,4,0,1,2,2,0,e7d7
4rr1k/p4ppp/5n2/3p1P2/3p3Q/4q1N1/PPP3bP/6RK w - - 0 24,middlegame,,53,2,1,0,2,4,-708,g1g2
8/1p3p1k/p1p1r2P/3rP3/6R1/P1B1Q2P/1P4P1/5K2 w - - 1 36,middlegame,,37,42,0,0,3,3,663,g4g7
